processed_food_id,fdc_id,match_ratio
1290,2644290,0.1667
1290,2644291,0.1667
1290,334536,0.1667
1290,746774,0.1667
1290,334462,0.1667
1291,332864,0.1667
1291,746785,0.1667
1291,330869,0.1667
1291,325658,0.1667
1291,746780,0.1667
1291,746781,0.1667
1292,2346404,0.2
1292,2346406,0.2
1292,2003591,0.2
1292,2003597,0.2
1292,2258591,0.2
1293,2644286,0.0156
1293,2644287,0.0156
1293,2003595,0.0156
1293,2644288,0.0156
1293,335245,0.0156
1293,747434,0.0156
1293,746774,0.0156
1293,1105430,0.0156
1293,2346390,0.0156
1293,335774,0.0156
1293,2346399,0.0156
1293,2258590,0.0156
1293,335777,0.0156
1293,2346402,0.0156
1293,747437,0.0156
1293,2346404,0.0156
1293,2346400,0.0156
1293,747430,0.0156
1293,747431,0.0156
1293,2346408,0.0156
1293,335782,0.0156
1293,2710826,0.0156
1293,335785,0.0156
1293,2346412,0.0156
1293,335912,0.0156
1293,747438,0.0156
1293,747432,0.0156
1293,747440,0.0156
1293,790577,0.0156
1293,747433,0.0156
1293,747443,0.0156
1293,747435,0.0156
1293,747436,0.0156
1293,2710838,0.0156
1293,335927,0.0156
1293,747439,0.0156
1293,747441,0.0156
1293,335930,0.0156
1293,335419,0.0156
1293,747442,0.0156
1293,747444,0.0156
1293,335422,0.0156
1293,747446,0.0156
1293,2644281,0.0156
1293,2644289,0.0156
1293,2644290,0.0156
1293,2644291,0.0156
1293,1750339,0.0156
1293,335425,0.0156
1293,335428,0.0156
1293,336067,0.0156
1293,747445,0.0156
1293,335433,0.0156
1293,335306,0.0156
1293,321611,0.0156
1293,2644292,0.0156
1293,2644294,0.0156
1293,335695,0.0156
1293,2263890,0.0156
1293,335442,0.0156
1293,333281,0.0156
1293,2644282,0.0156
1293,2644285,0.0156
1293,334462,0.0156
1294,790577,0.3333
1294,1104962,0.3333
1294,790646,0.3333
1295,748608,0.0833
1295,748323,0.0833
1295,1750348,0.0833
1295,1750349,0.0833
1295,748366,0.0833
1295,1750351,0.0833
1295,1750350,0.0833
1295,327501,0.0833
1295,332597,0.0833
1295,748278,0.0833
1295,330458,0.0833
1295,326458,0.0833
1296,332282,1.0
1297,2710826,1.0
1299,2685568,1.0
1300,2710816,1.0
1301,2003595,0.04
1301,335245,0.04
1301,1105430,0.04
1301,2346390,0.04
1301,2258590,0.04
1301,335774,0.04
1301,2346399,0.04
1301,335777,0.04
1301,2346402,0.04
